Turks and Caicos Islands,12,0,1,,0,Sporadic cases,10
Montserrat,11,0,1,,0,Sporadic cases,24
British Virgin Islands,7,0,1,,0,Sporadic cases,2
"Bonaire, Sint Eustatius and",,,,,,,
Saba,6,0,0,,0,Sporadic cases,10
Saint Barthélemy,6,0,0,,0,Sporadic cases,38
Anguilla,3,0,0,,0,Sporadic cases,34
Saint Pierre and Miquelon,1,0,0,,0,Sporadic cases,30
Eastern Mediterranean,,,,,,,
Iran (Islamic Republic of),103 135,1485,6486,,68,Community transmission,0
Saudi Arabia,33 731,1793,219,,10,Clusters of cases,0
Pakistan,25 837,1764,594,,30,Clusters of cases,0
Qatar,18 890,918,12,,0,Community transmission,0
United Arab Emirates,16 240,502,165,,8,Pending,0
Egypt,7981,393,482,,13,Clusters of cases,0
Kuwait,6567,278,44,,2,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Morocco,5548,140,183,0,Clusters of cases,0
Bahrain,4199,265,8,0,Clusters of cases,0
Afghanistan,3563,171,105,1,Clusters of cases,0
Oman,3112,154,15,2,Clusters of cases,0
Iraq,2543,63,102,0,Clusters of cases,0
Djibouti,1133,9,3,0,Clusters of cases,0
Tunisia,1026,1,44,1,Community transmission,0
Sudan,930,78,52,3,Sporadic cases,0
Somalia,928,55,44,5,Sporadic cases,0
Lebanon,784,34,25,0,Clusters of cases,0
Jordan,494,21,9,0,Clusters of cases,0
Libya,64,0,3,0,Clusters of cases,1
Syrian Arab Republic,45,0,3,0,Community transmission,1
Yemen,26,0,6,0,Pending,1
Territoriesii,,,,,,
occupied Palestinian territory,547,1,4,0,Clusters of cases,0
Europe,,,,,,
Spain,221 447,1122,26 070,213,Community transmission,0
Italy,215 858,1401,29 958,274,Community transmission,0
The United Kingdom,206 719,5514,30 615,539,Community transmission,0
Russian Federation,187 859,10 699,1723,98,Clusters of cases,0
Germany,167 300,1209,7266,147,Community transmission,0
France,135 980,512,25 946,177,Community transmission,0
Turkey,133 721,1977,3641,57,Community transmission,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Belgium,51 420,639,8415,76,Community transmission,0
Netherlands,41 774,455,5288,84,Community transmission,0
Switzerland,30 043,66,1517,13,Community transmission,0
Portugal,26 715,533,1105,16,Community transmission,0
Sweden,24 623,705,3040,99,Community transmission,0
Ireland,22 385,137,1403,28,Community transmission,0
Belarus,20 168,913,116,4,Clusters of cases,0
Israel,16 346,32,239,1,Pending,0
Austria,15 673,22,609,1,Community transmission,0
Poland,15 047,307,755,22,Community transmission,0
Romania,14 499,392,876,18,Community transmission,0
Ukraine,14 195,504,361,21,Community transmission,0
Denmark,10 083,100,514,8,Pending,0
Serbia,9848,57,206,3,Pending,0
Czechia,8031,57,270,8,Community transmission,0
Norway,7995,42,209,0,Pending,0
Finland,5673,100,255,3,Pending,0
Republic of Moldova,4605,129,145,2,Pending,0
Kazakhstan,4578,69,30,0,Pending,0
Luxembourg,3859,8,100,2,Pending,0
Hungary,3178,28,392,9,Clusters of cases,0
Armenia,3029,145,43,1,Clusters of cases,0
Greece,2678,15,148,1,Community transmission,0
Uzbekistan,2314,48,10,0,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Azerbaijan,2204,77,28,0,Clusters of cases,0
Croatia,2125,6,86,1,Community transmission,0
Bosnia and Herzegovina,2027,10,89,2,Community transmission,0
Bulgaria,1829,51,84,0,Clusters of cases,0
Iceland,1801,2,10,0,Community transmission,0
Estonia,1720,7,56,1,Pending,0
North Macedonia,1572,33,89,1,Clusters of cases,0
Slovenia,1449,1,99,0,Community transmission,0
Slovakia,1445,16,26,1,Clusters of cases,0
Lithuania,1433,5,49,1,Community transmission,0
Latvia,909,9,18,1,Community transmission,0
Kyrgyzstan,906,11,12,0,Clusters of cases,0
Cyprus,889,6,21,0,Clusters of cases,0
Albania,850,18,31,0,Clusters of cases,0
Andorra,752,0,47,0,Community transmission,1
San Marino,632,24,41,0,Community transmission,0
Georgia,623,9,9,0,Community transmission,0
Malta,486,2,5,0,Pending,0
Tajikistan,461,82,16,7,Pending,0
Montenegro,324,0,8,0,Clusters of cases,2
Monaco,95,0,1,0,Sporadic cases,4
Liechtenstein,83,0,1,0,Pending,12
Holy See,12,0,0,0,Sporadic cases,1
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Territoriesii,,,,,,
Kosovo[1],,,,,,
"",861,1,27,0,Community transmission,0
Isle of Man,327,1,23,0,Pending,0
Jersey,293,0,25,1,Pending,2
Guernsey,252,0,13,0,Community transmission,5
Faroe Islands,187,0,0,0,Pending,14
Gibraltar,144,0,0,0,Clusters of cases,6
Greenland,11,0,0,0,Pending,32
South-East Asia,,,,,,
India,56 342,3390,1886,103,Clusters of cases,0
Indonesia,12 776,338,930,35,Community transmission,0
Bangladesh,12 425,706,186,0,Clusters of cases,0
Thailand,3000,8,55,0,Clusters of cases,0
Sri Lanka,797,0,9,0,Clusters of cases,1
Maldives,648,30,3,1,Clusters of cases,0
Myanmar,176,14,6,0,Clusters of cases,0
Nepal,99,0,0,0,Sporadic cases,1
Timor-Leste,24,0,0,0,Clusters of cases,14
Bhutan,7,0,0,0,Sporadic cases,15
Western Pacific,,,,,,
China,84 415,6,4643,0,Clusters of cases,0
Singapore,20 939,741,20,0,Clusters of cases,0
Japan,15 547,84,557,6,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Republic of Korea,10 822,12,256,0,Clusters of cases,0
Philippines,10 343,339,685,27,Clusters of cases,0
Australia,6896,21,97,0,Clusters of cases,0
Malaysia,6467,39,107,0,Clusters of cases,0
New Zealand,1141,2,21,0,Clusters of cases,0
Viet Nam,288,17,0,0,Clusters of cases,0
Brunei Darussalam,141,2,1,0,Sporadic cases,0
Cambodia,122,0,0,0,Sporadic cases,26
Mongolia,41,0,0,0,Sporadic cases,2
Lao People's Democratic,,,,,,
Republic,19,0,0,0,Sporadic cases,25
Fiji,18,0,0,0,Sporadic cases,17
Papua New Guinea,8,0,0,0,Sporadic cases,15
Territoriesii,,,,,,
Guam,147,0,5,0,Clusters of cases,1
French Polynesia,60,0,0,0,Sporadic cases,2
New Caledonia,18,0,0,0,Sporadic cases,35
Northern Mariana Islands,,,,,,
(Commonwealth of the),15,0,2,0,Pending,1
Subtotal for all regions,3 759 255,87 729,259 461,5429,,
Other*,712,0,13,0,-,53
Grand total,,,,,,
"",3 759 967,87 729,259 474,5429,,
