Saint Barthélemy,6,0,0,,0,Sporadic cases,35
Anguilla,3,0,0,,0,Sporadic cases,31
Saint Pierre and Miquelon,1,0,0,,0,Sporadic cases,27
Eastern Mediterranean,,,,,,,
Iran (Islamic Republic of),98647,1223,6277,,74,Community transmission,0
Saudi Arabia,28656,1645,191,,7,Clusters of cases,0
Pakistan,21501,1417,486,,29,Clusters of cases,0
Qatar,16191,640,12,,0,Community transmission,0
United Arab Emirates,14730,567,137,,11,Pending,0
Egypt,6813,348,436,,7,Clusters of cases,0
Kuwait,5278,295,40,,2,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Morocco,5053,150,179,5,Clusters of cases,0
Bahrain,3533,177,8,0,Clusters of cases,0
Oman,2735,167,12,0,Clusters of cases,0
Afghanistan,2469,0,72,0,Clusters of cases,3
Iraq,2346,127,98,3,Clusters of cases,0
Djibouti,1116,4,2,0,Clusters of cases,0
Tunisia,1018,9,43,1,Community transmission,0
Somalia,756,34,35,3,Sporadic cases,0
Lebanon,740,3,25,0,Clusters of cases,0
Sudan,678,86,41,0,Sporadic cases,0
Jordan,465,4,9,0,Clusters of cases,0
Libya,63,0,3,0,Clusters of cases,3
Syrian Arab Republic,44,0,3,0,Community transmission,3
Yemen,12,2,2,0,Pending,0
Territoriesii,,,,,,
occupied Palestinian territory,532,179,4,2,Clusters of cases,0
Europe,,,,,,
Spain,218011,545,25428,164,Community transmission,0
Italy,211938,1221,29079,195,Community transmission,0
The United Kingdom,190588,3985,28734,288,Community transmission,0
Germany,163860,685,6831,139,Community transmission,0
Russian Federation,155370,10102,1451,95,Clusters of cases,0
France,130242,534,25165,306,Community transmission,0
Turkey,127659,1614,3461,64,Community transmission,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Belgium,50267,361,7924,80,Community transmission,0
Netherlands,40770,199,5082,26,Community transmission,0
Switzerland,29898,76,1476,4,Community transmission,0
Portugal,25524,242,1063,20,Community transmission,0
Sweden,22721,404,2769,90,Community transmission,0
Ireland,21722,216,1319,16,Community transmission,0
Belarus,17489,0,103,0,Clusters of cases,1
Israel,16237,85,234,7,Pending,0
Austria,15621,24,600,2,Community transmission,0
Poland,14006,313,698,20,Community transmission,0
Romania,13512,349,803,23,Community transmission,0
Ukraine,12697,366,316,13,Community transmission,0
Denmark,9670,147,493,9,Pending,0
Serbia,9557,93,197,4,Pending,0
Norway,7847,38,208,0,Pending,0
Czechia,7819,38,252,4,Community transmission,0
Finland,5327,73,240,10,Pending,0
Republic of Moldova,4248,127,133,5,Pending,0
Kazakhstan,4160,172,29,2,Pending,0
Luxembourg,3828,4,96,0,Pending,0
Hungary,3065,30,363,12,Clusters of cases,0
Greece,2632,6,146,2,Community transmission,0
Armenia,2619,112,40,1,Clusters of cases,0
Uzbekistan,2189,29,10,0,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Croatia,2101,5,80,1,Community transmission,0
Azerbaijan,1984,52,26,1,Clusters of cases,0
Bosnia and Herzegovina,1926,69,77,1,Community transmission,0
Iceland,1799,0,10,0,Community transmission,1
Estonia,1703,3,55,0,Pending,0
Bulgaria,1652,34,78,5,Clusters of cases,0
North Macedonia,1518,7,85,1,Clusters of cases,0
Slovenia,1439,0,97,1,Community transmission,2
Lithuania,1419,9,46,0,Community transmission,0
Slovakia,1413,5,25,1,Clusters of cases,0
Latvia,896,17,16,0,Community transmission,0
Cyprus,874,2,20,0,Clusters of cases,0
Kyrgyzstan,843,13,10,0,Clusters of cases,0
Albania,803,8,31,0,Clusters of cases,0
Andorra,751,2,45,0,Community transmission,0
Georgia,604,11,9,0,Community transmission,0
San Marino,582,0,41,0,Community transmission,1
Malta,480,3,4,0,Pending,0
Montenegro,323,1,8,0,Clusters of cases,0
Tajikistan,230,102,7,3,Pending,0
Monaco,95,0,1,0,Sporadic cases,1
Liechtenstein,83,0,1,0,Pending,9
Holy See,11,0,0,0,Sporadic cases,4
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Territoriesii,,,,,,
Kosovo[1],,,,,,
"",855,4,27,0,Community transmission,0
Isle of Man,321,1,23,0,Pending,0
Jersey,292,1,24,0,Pending,0
Guernsey,252,0,13,0,Community transmission,2
Faroe Islands,187,0,0,0,Pending,11
Gibraltar,144,0,0,0,Clusters of cases,3
Greenland,11,0,0,0,Pending,29
South-East Asia,,,,,,
India,46433,3900,1568,195,Clusters of cases,0
Indonesia,11587,395,864,19,Community transmission,0
Bangladesh,10143,688,182,5,Clusters of cases,0
Thailand,2988,1,54,0,Clusters of cases,0
Sri Lanka,718,0,7,0,Clusters of cases,1
Maldives,545,18,1,0,Clusters of cases,0
Myanmar,161,6,6,0,Clusters of cases,0
Nepal,82,7,0,0,Sporadic cases,0
Timor-Leste,24,0,0,0,Clusters of cases,11
Bhutan,7,0,0,0,Sporadic cases,12
Western Pacific,,,,,,
China,84404,4,4643,0,Clusters of cases,0
Singapore,18778,573,18,0,Clusters of cases,0
Japan,15231,174,521,11,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Republic of Korea,10804,3,254,2,Clusters of cases,0
Philippines,9485,262,623,16,Clusters of cases,0
Australia,6825,24,95,0,Clusters of cases,0
Malaysia,6353,55,105,0,Clusters of cases,0
New Zealand,1137,0,20,0,Clusters of cases,1
Viet Nam,271,0,0,0,Clusters of cases,1
Brunei Darussalam,138,0,1,0,Sporadic cases,15
Cambodia,122,0,0,0,Sporadic cases,23
Mongolia,40,1,0,0,Sporadic cases,0
Lao People's Democratic,,,,,,
Republic,19,0,0,0,Sporadic cases,22
Fiji,18,0,0,0,Sporadic cases,14
Papua New Guinea,8,0,0,0,Sporadic cases,12
Territoriesii,,,,,,
Guam,145,0,5,0,Clusters of cases,1
French Polynesia,58,0,0,0,Sporadic cases,7
New Caledonia,18,0,0,0,Sporadic cases,32
Northern Mariana Islands,,,,,,
(Commonwealth of the),14,0,2,0,Pending,17
Subtotal for all regions,3 516 633,81 454,243 388,3797,,
Other*,712,0,13,0,-,50
Grand total,,,,,,
"",3 517 345,81 454,243 401,3797,,
