Pakistan,16817,1058,385,,39,Clusters of cases,0
Qatar,13409,845,10,,0,Pending,0
United Arab Emirates,12481,552,105,,7,Pending,0
Egypt,5537,269,392,,12,Clusters of cases,0
Morocco,4423,64,170,,2,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Kuwait,4024,284,26,2,Clusters of cases,0
Bahrain,3040,119,8,0,Clusters of cases,0
Oman,2447,99,11,1,Clusters of cases,0
Afghanistan,2171,344,64,4,Clusters of cases,0
Iraq,2085,82,93,1,Clusters of cases,0
Djibouti,1089,12,2,0,Clusters of cases,0
Tunisia,994,14,41,1,Community transmission,0
Lebanon,725,4,24,0,Clusters of cases,0
Somalia,601,19,28,0,Sporadic cases,0
Jordan,453,2,8,0,Clusters of cases,0
Sudan,442,67,31,3,Sporadic cases,0
Libya,61,0,3,1,Clusters of cases,6
Syrian Arab Republic,43,0,3,0,Community transmission,3
Yemen,6,0,2,2,Pending,1
Territoriesii,,,,,,
occupied Palestinian territory,344,0,2,0,Clusters of cases,1
Europe,,,,,,
Spain,213435,518,24543,268,Community transmission,0
Italy,205463,1872,27967,285,Community transmission,0
The United Kingdom,171257,6032,26771,674,Community transmission,0
Germany,159119,0,6288,0,Community transmission,1
France,128121,1055,24342,288,Community transmission,0
Turkey,120204,2615,3174,93,Community transmission,0
Russian Federation,114431,7933,1169,96,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Belgium,48519,660,7594,93,Community transmission,0
Netherlands,39316,514,4795,84,Community transmission,0
Switzerland,29503,179,1422,15,Community transmission,0
Portugal,25056,551,989,16,Community transmission,0
Sweden,21092,790,2586,124,Community transmission,0
Ireland,20612,359,1232,42,Community transmission,0
Israel,16004,222,223,11,Pending,0
Austria,15457,93,584,4,Community transmission,0
Belarus,14027,846,89,5,Clusters of cases,0
Poland,12877,237,644,20,Community transmission,0
Romania,12240,262,717,42,Community transmission,0
Ukraine,10861,455,272,11,Community transmission,0
Denmark,9158,150,452,9,Pending,0
Serbia,9009,285,179,6,Pending,0
Norway,7710,43,204,2,Pending,0
Czechia,7682,103,236,9,Community transmission,0
Finland,4995,89,211,5,Pending,0
Republic of Moldova,3897,126,119,3,Pending,0
Luxembourg,3784,15,90,1,Pending,0
Kazakhstan,3551,218,25,0,Pending,0
Hungary,2863,88,323,11,Clusters of cases,0
Greece,2591,15,140,1,Community transmission,0
Armenia,2148,82,33,1,Clusters of cases,0
Croatia,2076,14,69,2,Community transmission,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Uzbekistan,2046,15,9,,0,Clusters of cases,0
Azerbaijan,1804,38,24,,1,Clusters of cases,0
Iceland,1797,0,10,,0,Community transmission,1
Bosnia and Herzegovina,1757,68,68,,4,Community transmission,0
Estonia,1689,23,52,,2,Pending,0
Bulgaria,1506,59,66,,2,Pending,0
North Macedonia,1465,23,77,,4,Clusters of cases,0
Slovenia,1429,11,91,,2,Community transmission,0
Slovakia,1396,5,23,,1,Clusters of cases,0
Lithuania,1385,10,45,,0,Community transmission,0
Latvia,858,9,15,,0,Community transmission,0
Cyprus,850,7,20,,0,Clusters of cases,0
Albania,773,0,31,,0,Clusters of cases,1
Kyrgyzstan,756,10,8,,0,Clusters of cases,0
Andorra,746,2,42,,1,Community transmission,0
San Marino,569,6,41,,0,Community transmission,0
Georgia,566,27,6,,0,Community transmission,0
Malta,465,2,4,,0,Pending,0
Montenegro,322,0,7,,0,Clusters of cases,1
Liechtenstein,83,0,1,,0,Pending,5
Monaco,68,0,1,,0,Sporadic cases,17
Tajikistan,15,15,0,,0,Pending,0
Holy See,11,1,0,,0,Sporadic cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Territoriesii,,,,,,
Kosovo[1],799,0,22,0,Community transmission,1
Isle of Man,311,2,22,1,Pending,0
Jersey,290,6,20,0,Pending,0
Guernsey,251,4,13,0,Community transmission,0
Faroe Islands,187,0,0,0,Pending,7
Gibraltar,141,0,0,0,Clusters of cases,4
Greenland,11,0,0,0,Pending,25
South-East Asia,,,,,,
India,35043,1993,1147,73,Clusters of cases,0
Indonesia,10118,347,792,8,Community transmission,0
Bangladesh,7667,564,168,5,Pending,0
Thailand,2960,6,54,0,Clusters of cases,0
Sri Lanka,665,16,7,0,Clusters of cases,0
Maldives,396,140,0,0,Clusters of cases,0
Myanmar,151,1,6,0,Clusters of cases,0
Nepal,57,0,0,0,Sporadic cases,1
Timor-Leste,24,0,0,0,Clusters of cases,7
Bhutan,7,0,0,0,Sporadic cases,8
Western Pacific,,,,,,
China,84385,12,4643,0,Clusters of cases,0
Singapore,16169,528,15,1,Clusters of cases,0
Japan,14281,193,432,17,Clusters of cases,0
Republic of Korea,10774,9,248,1,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Philippines,8488,276,568,10,Clusters of cases,0
Australia,6762,16,92,2,Clusters of cases,0
Malaysia,6002,57,102,2,Clusters of cases,0
New Zealand,1132,3,19,0,Clusters of cases,0
Viet Nam,270,0,0,0,Clusters of cases,6
Brunei Darussalam,138,0,1,0,Sporadic cases,11
Cambodia,122,0,0,0,Sporadic cases,19
Mongolia,38,0,0,0,Sporadic cases,4
Lao People's Democratic,,,,,,
Republic,19,0,0,0,Sporadic cases,18
Fiji,18,0,0,0,Sporadic cases,10
Papua New Guinea,8,0,0,0,Sporadic cases,8
Territoriesii,,,,,,
Guam,142,1,5,0,Clusters of cases,0
French Polynesia,58,0,0,0,Sporadic cases,3
New Caledonia,18,0,0,0,Sporadic cases,28
Northern Mariana Islands,,,,,,
(Commonwealth of the),14,0,2,0,Pending,13
Subtotal for all regions,3 174 495,84 771,22 4159,6403,,
Other*,712,0,13,0,-,46
Grand total,3 175 207,84 771,224 172,6403,,
