""
WHO has published a new guidance on Considerations for school-related public health measures in the
context of COVID-19 as an annex to earlier guidance on adjusting public health and social measures
published on 15 April 2020.
WHO has issued a Statement on Tobacco use and COVID-19. Tobacco smoking is a known risk factor for
many respiratory infections and increases the severity of respiratory diseases. A review of studies by
public health experts convened by WHO found that smokers are more likely to develop severe disease
"with COVID-19, compared to non-smokers. WHO urges researchers, scientists and the media to be"
cautious about amplifying unproven claims that tobacco or nicotine could reduce the risk of COVID-19.
"The Director-General Dr. Tedros in his media briefing yesterday, urged a slow, steady, lifting of public"
"health and social measures (so called lockdowns), which is key to stimulating economies, while also"
keeping a vigilant eye on the virus so that control measures can be quickly implemented if an upswing in
cases is identified.
"In the ‘Subject in Focus’ below, WHO Operations and Support Logistics (OSL), in collaboration with a"
"technical network of universities, architects, biomedical engineers and other health experts, is working"
"to support the establishment of COVID-19 treatment centres, self-quarantine and community facilities at"
the request of countries seeking technical guidance in setting up such facilities.
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Eswatini,175,3,2,0,Sporadic cases,0
South Sudan,174,18,0,0,Sporadic cases,0
São Tomé and Príncipe,165,0,4,0,Sporadic cases,2
Uganda,122,1,0,0,Sporadic cases,0
Mozambique,103,12,0,0,Sporadic cases,0
Malawi,57,1,3,0,Sporadic cases,0
Angola,45,0,2,0,Sporadic cases,1
Eritrea,39,0,0,0,Sporadic cases,23
Zimbabwe,36,0,4,0,Sporadic cases,1
Botswana,24,1,1,0,Sporadic cases,0
Gambia,22,2,1,0,Sporadic cases,0
Burundi,19,0,1,0,Sporadic cases,9
Namibia,16,0,0,0,Sporadic cases,36
Comoros,11,0,1,0,Pending,2
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Seychelles,11,0,0,0,Sporadic cases,35
Mauritania,8,0,1,0,Sporadic cases,11
Territoriesii,,,,,,
Mayotte,1 061,38,12,1,Clusters of cases,0
Réunion,436,0,0,0,Clusters of cases,1
Americas,,,,,,
United States of America,1 298 287,26 642,78 652,1 736,Community transmission,0
Brazil,162 699,6 760,11 123,496,Community transmission,0
Canada,69 156,1 160,4 906,178,Community transmission,0
Peru,67 307,2 292,1 889,75,Community transmission,0
Mexico,35 022,1 562,3 465,112,Community transmission,0
Chile,30 063,1 197,323,11,Community transmission,0
Ecuador,29 509,- 50,2 145,18,Community transmission,0
Colombia,11 063,568,463,18,Community transmission,0
Dominican Republic,10 634,287,393,5,Community transmission,0
Panama,8 448,166,244,7,Community transmission,0
Argentina,6 034,110,305,5,Community transmission,0
Bolivia (Plurinational State of),2 556,119,118,4,Clusters of cases,0
Honduras,1 972,142,108,0,Community transmission,0
Cuba,1 783,17,77,0,Clusters of cases,0
Guatemala,1 052,85,26,2,Clusters of cases,0
El Salvador,958,69,17,0,Clusters of cases,0
Costa Rica,792,12,6,0,Clusters of cases,0
Paraguay,724,11,10,0,Community transmission,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Uruguay,707,5,19,2,Clusters of cases,0
Jamaica,502,4,9,0,Clusters of cases,0
Venezuela (Bolivarian Republic,,,,,,
of),414,12,10,0,Clusters of cases,0
Haiti,182,31,15,3,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,14
Guyana,104,7,10,0,Clusters of cases,0
Bahamas,92,0,11,0,Clusters of cases,4
Barbados,84,0,7,0,Clusters of cases,1
Antigua and Barbuda,25,0,3,0,Clusters of cases,8
Grenada,21,0,0,0,Clusters of cases,8
Belize,18,0,2,0,Sporadic cases,27
Saint Lucia,18,0,0,0,Sporadic cases,7
Saint Vincent and the,,,,,,
Grenadines,17,0,0,0,Sporadic cases,7
Dominica,16,0,0,0,Clusters of cases,31
Nicaragua,16,0,5,0,Pending,5
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,21
Suriname,10,0,1,0,Sporadic cases,38
Territoriesii,,,,,,
Puerto Rico,2 256,58,113,2,Clusters of cases,0
Martinique,187,0,14,0,Clusters of cases,1
Guadeloupe,154,0,13,0,Clusters of cases,3
French Guiana,144,0,1,0,Clusters of cases,1
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Bermuda,118,0,7,0,Clusters of cases,4
Aruba,101,0,3,0,Sporadic cases,6
Cayman Islands,81,0,1,0,Clusters of cases,2
Sint Maarten,77,0,15,0,Sporadic cases,2
United States Virgin Islands,69,0,5,1,Clusters of cases,1
Saint Martin,39,0,3,0,Sporadic cases,1
Curaçao,16,0,1,0,Sporadic cases,14
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,16
Turks and Caicos Islands,12,0,1,0,Sporadic cases,14
Montserrat,11,0,1,0,Sporadic cases,28
British Virgin Islands,7,0,1,0,Sporadic cases,6
"Bonaire, Sint Eustatius and",,,,,,
Saba,6,0,0,0,Sporadic cases,14
Saint Barthélemy,6,0,0,0,Sporadic cases,42
Anguilla,3,0,0,0,Sporadic cases,38
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,34
Eastern Mediterranean,,,,,,
Iran (Islamic Republic of),109 286,1 683,6 685,45,Community transmission,0
Saudi Arabia,41 014,1 966,255,9,Clusters of cases,0
Pakistan,32 081,1 140,706,39,Clusters of cases,0
Qatar,23 623,1 103,14,0,Community transmission,0
United Arab Emirates,18 878,680,201,3,Pending,0
Egypt,9 746,346,533,8,Clusters of cases,0
Kuwait,9 286,598,65,7,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Morocco,6 360,297,188,0,Clusters of cases,0
Bahrain,5 236,295,8,0,Clusters of cases,0
Afghanistan,4 967,303,127,7,Clusters of cases,0
Oman,3 721,147,17,0,Clusters of cases,0
Iraq,2 818,51,110,1,Clusters of cases,0
Sudan,1 526,161,74,4,Sporadic cases,0
Djibouti,1 227,17,3,0,Clusters of cases,0
Somalia,1 089,35,52,1,Sporadic cases,0
Tunisia,1 032,0,45,0,Community transmission,2
Lebanon,859,14,26,0,Clusters of cases,0
Jordan,562,22,9,0,Clusters of cases,0
Libya,64,0,3,0,Clusters of cases,5
Yemen,58,5,10,1,Pending,0
Syrian Arab Republic,47,0,3,0,Community transmission,3
Territoriesii,,,,,,
occupied Palestinian territory,547,0,4,0,Clusters of cases,4
Europe,,,,,,
Russian Federation,232 243,10 899,2 116,107,Clusters of cases,0
Spain,227 436,3 046,26 744,123,Community transmission,0
The United Kingdom,223 064,3 877,32 065,210,Community transmission,0
Italy,219 814,744,30 739,179,Community transmission,0
Germany,170 508,933,7 533,116,Community transmission,0
Turkey,139 771,1 114,3 841,55,Community transmission,0
France,137 491,418,26 600,262,Community transmission,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Belgium,53 449,368,8 707,51,Community transmission,0
Netherlands,42 788,161,5 456,16,Community transmission,0
Switzerland,30 261,39,1 542,5,Community transmission,0
Portugal,27 679,98,1 144,9,Community transmission,0
Sweden,26 670,348,3 256,31,Community transmission,0
Belarus,23 906,0,135,0,Clusters of cases,1
Ireland,23 135,139,1 467,9,Community transmission,0
Israel,16 526,34,258,4,Pending,0
Poland,16 326,330,811,11,Community transmission,0
Ukraine,16 023,375,425,17,Community transmission,0
Austria,15 874,87,620,2,Community transmission,0
Romania,15 588,226,972,20,Community transmission,0
Denmark,10 513,84,533,4,Pending,0
Serbia,10 176,62,218,3,Pending,0
Czechia,8 176,53,282,2,Community transmission,0
Norway,8 106,7,224,7,Pending,0
Finland,5 984,22,271,4,Pending,0
Kazakhstan,5 207,69,32,1,Pending,0
Republic of Moldova,4 995,68,179,8,Pending,0
Luxembourg,3 888,2,101,0,Pending,0
Armenia,3 538,146,47,2,Clusters of cases,0
Hungary,3 313,29,425,4,Clusters of cases,0
Greece,2 726,10,151,0,Community transmission,0
Azerbaijan,2 589,70,32,0,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Uzbekistan,2 509,98,10,0,Clusters of cases,0
Croatia,2 196,9,91,1,Community transmission,0
Bosnia and Herzegovina,2 142,44,112,9,Community transmission,0
Bulgaria,1 990,25,93,2,Clusters of cases,0
Iceland,1 801,0,10,0,Community transmission,4
Estonia,1 741,2,61,1,Pending,0
North Macedonia,1 664,22,91,0,Clusters of cases,0
Lithuania,1 485,6,50,0,Community transmission,0
Slovenia,1 460,3,102,0,Community transmission,0
Slovakia,1 457,0,26,0,Clusters of cases,1
Kyrgyzstan,1 037,21,12,0,Clusters of cases,0
Latvia,946,7,18,0,Community transmission,0
Cyprus,901,3,22,0,Clusters of cases,0
Albania,872,4,31,0,Clusters of cases,0
Andorra,756,0,48,0,Community transmission,1
Tajikistan,661,49,21,1,Pending,0
San Marino,647,10,41,0,Community transmission,0
Georgia,639,1,11,1,Community transmission,0
Malta,503,7,5,0,Pending,0
Montenegro,325,0,8,0,Clusters of cases,1
Monaco,96,0,1,0,Sporadic cases,1
Liechtenstein,83,0,1,0,Pending,16
Holy See,12,0,0,0,Sporadic cases,5
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Territoriesii,,,,,,
Kosovo[1],884,14,28,0,Community transmission,0
Isle of Man,330,0,23,0,Pending,1
Jersey,294,1,25,0,Pending,0
Guernsey,252,0,13,0,Community transmission,9
Faroe Islands,187,0,0,0,Pending,18
Gibraltar,146,0,0,0,Clusters of cases,2
Greenland,11,0,0,0,Pending,36
South-East Asia,,,,,,
India,70 756,3 604,2 293,87,Clusters of cases,0
Bangladesh,15 691,1 034,239,11,Clusters of cases,0
Indonesia,14 265,233,991,18,Community transmission,0
Thailand,3 017,8,56,0,Clusters of cases,0
Maldives,897,62,3,0,Clusters of cases,0
Sri Lanka,869,6,9,0,Clusters of cases,0
Nepal,191,71,0,0,Sporadic cases,0
Myanmar,180,0,6,0,Clusters of cases,1
Timor-Leste,24,0,0,0,Clusters of cases,18
Bhutan,11,2,0,0,Sporadic cases,0
Western Pacific,,,,,,
China,84 451,1,4 644,1,Clusters of cases,0
Singapore,23 822,486,21,1,Clusters of cases,0
Japan,15 874,76,643,22,Clusters of cases,0
Philippines,11 086,292,726,7,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Republic of Korea,10 936,27,258,2,Clusters of cases,0
Australia,6 948,7,97,0,Clusters of cases,0
Malaysia,6 726,70,109,1,Clusters of cases,0
New Zealand,1 147,0,21,0,Clusters of cases,1
Viet Nam,288,0,0,0,Clusters of cases,4
Brunei Darussalam,141,0,1,0,Sporadic cases,4
Cambodia,122,0,0,0,Sporadic cases,30
Mongolia,42,0,0,0,Sporadic cases,3
Lao People's Democratic,,,,,,
Republic,19,0,0,0,Sporadic cases,29
Fiji,18,0,0,0,Sporadic cases,21
Papua New Guinea,8,0,0,0,Sporadic cases,19
Territoriesii,,,,,,
Guam,147,0,5,0,Clusters of cases,5
French Polynesia,60,0,0,0,Sporadic cases,6
Northern Mariana Islands,,,,,,
(Commonwealth of the),19,3,2,0,Pending,0
New Caledonia,18,0,0,0,Sporadic cases,39
Subtotal for all regions,4 088 136,82 591,283 140,4 261,,
Other*,712,0,13,0,-,57
Grand total,,,,,,
"",4 088 848,82 591,283 153,4 261,,
