""
WHO has published new guidance on Surveillance strategies for COVID-19 human infection. The
document provides an overview of surveillance strategies that Member States should consider as part of
comprehensive national surveillance for COVID-19. It also emphasise the need to adapt and reinforce
existing national systems where appropriate and to scale-up surveillance capacities as needed.
WHO has published new guidance on Contact tracing in the context of COVID-19. When systematically
"applied, the guidance will help break the chains of transmission of COVID-19 and other infectious disease"
and is thus an essential public health tool for controlling infectious disease outbreaks.
"In today’s ‘Subject in Focus’,  WHO provides an update on the work of the Emergency Medical Teams,"
"the Global Outbreak Alert and Response Network, and Risk Communication and Community"
Engagement.
""
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Zimbabwe,36,1,4,0,Sporadic cases,0
Botswana,23,0,1,0,Sporadic cases,12
Gambia,20,0,1,0,Sporadic cases,2
Burundi,19,0,1,0,Sporadic cases,8
Namibia,16,0,0,0,Sporadic cases,35
Comoros,11,0,1,0,Pending,1
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Seychelles,11,0,0,0,Sporadic cases,34
Mauritania,8,0,1,0,Sporadic cases,10
Territoriesii,,,,,,
Mayotte,1023,133,11,0,Clusters of cases,0
Réunion,436,6,0,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 271 645,25 870,76 916,1552,Community transmission,0
Brazil,155 939,10 611,10 627,730,Community transmission,0
Canada,67 996,1216,4728,100,Community transmission,0
Peru,65 015,3168,1814,100,Community transmission,0
Mexico,33 460,1938,3353,193,Community transmission,0
Ecuador,29 559,741,2127,423,Community transmission,0
Chile,28 866,1647,312,8,Community transmission,0
Colombia,10 495,444,445,17,Community transmission,0
Dominican Republic,10 347,465,388,3,Community transmission,0
Panama,8282,212,237,6,Community transmission,0
Argentina,5924,244,300,3,Community transmission,0
Bolivia (Plurinational State of),2437,171,114,8,Clusters of cases,0
Honduras,1830,59,108,1,Community transmission,0
Cuba,1766,12,77,3,Clusters of cases,0
Guatemala,967,67,24,0,Clusters of cases,0
El Salvador,889,105,17,1,Clusters of cases,0
Costa Rica,780,7,6,0,Clusters of cases,0
Paraguay,713,24,10,0,Community transmission,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Uruguay,702,8,17,0,Clusters of cases,0
Jamaica,498,8,9,0,Clusters of cases,0
Venezuela (Bolivarian Republic,,,,,,
of),402,14,10,0,Clusters of cases,0
Haiti,151,5,12,0,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,13
Guyana,97,4,10,0,Clusters of cases,0
Bahamas,92,0,11,0,Clusters of cases,3
Barbados,84,2,7,0,Clusters of cases,0
Antigua and Barbuda,25,0,3,0,Clusters of cases,7
Grenada,21,0,0,0,Clusters of cases,7
Belize,18,0,2,0,Sporadic cases,26
Saint Lucia,18,0,0,0,Sporadic cases,6
Saint Vincent and the,,,,,,
Grenadines,17,0,0,0,Sporadic cases,6
Dominica,16,0,0,0,Clusters of cases,30
Nicaragua,16,0,5,0,Pending,4
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,20
Suriname,10,0,1,0,Sporadic cases,37
Territoriesii,,,,,,
Puerto Rico,2198,25,111,3,Clusters of cases,0
Martinique,187,1,14,0,Clusters of cases,0
Guadeloupe,154,0,13,0,Clusters of cases,2
French Guiana,144,3,1,0,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Bermuda,118,0,7,0,Clusters of cases,3
Aruba,101,0,3,0,Sporadic cases,5
Cayman Islands,81,0,1,0,Clusters of cases,1
Sint Maarten,77,0,15,0,Sporadic cases,1
United States Virgin Islands,69,1,4,0,Clusters of cases,0
Saint Martin,39,1,3,0,Sporadic cases,0
Curaçao,16,0,1,0,Sporadic cases,13
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,15
Turks and Caicos Islands,12,0,1,0,Sporadic cases,13
Montserrat,11,0,1,0,Sporadic cases,27
British Virgin Islands,7,0,1,0,Sporadic cases,5
"Bonaire, Sint Eustatius and",,,,,,
Saba,6,0,0,0,Sporadic cases,13
Saint Barthélemy,6,0,0,0,Sporadic cases,41
Anguilla,3,0,0,0,Sporadic cases,37
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,33
Eastern Mediterranean,,,,,,
Iran (Islamic Republic of),107 603,1383,6640,51,Community transmission,0
Saudi Arabia,39 048,1912,246,7,Clusters of cases,0
Pakistan,30 941,1476,667,28,Clusters of cases,0
Qatar,22 520,1189,14,1,Community transmission,0
United Arab Emirates,18 198,781,198,13,Pending,0
Egypt,9400,436,525,11,Clusters of cases,0
Kuwait,8688,1065,58,9,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Morocco,6063,153,188,2,Clusters of cases,0
Bahrain,4941,167,8,0,Clusters of cases,0
Afghanistan,4664,262,120,1,Clusters of cases,0
Oman,3574,174,17,0,Clusters of cases,0
Iraq,2767,88,109,2,Clusters of cases,0
Sudan,1365,201,70,6,Sporadic cases,0
Djibouti,1210,21,3,0,Clusters of cases,0
Somalia,1054,57,51,3,Sporadic cases,0
Tunisia,1032,0,45,0,Community transmission,1
Lebanon,845,36,26,0,Clusters of cases,0
Jordan,540,18,9,0,Clusters of cases,0
Libya,64,0,3,0,Clusters of cases,4
Yemen,53,17,9,1,Pending,0
Syrian Arab Republic,47,0,3,0,Community transmission,2
Territoriesii,,,,,,
occupied Palestinian territory,547,0,4,0,Clusters of cases,3
Europe,,,,,,
Spain,224 390,812,26 621,143,Community transmission,0
Russian Federation,221 344,11 656,2009,94,Clusters of cases,0
The United Kingdom,219 187,3923,31 855,268,Community transmission,0
Italy,219 070,802,30 560,165,Community transmission,0
Germany,169 575,357,7417,22,Community transmission,0
Turkey,138 657,1542,3786,47,Community transmission,0
France,137 073,65,26 338,70,Community transmission,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Belgium,53 081,485,8656,75,Community transmission,0
Netherlands,42 627,245,5440,18,Community transmission,0
Switzerland,30 222,54,1537,6,Community transmission,0
Portugal,27 581,175,1135,9,Community transmission,0
Sweden,26 322,401,3225,5,Community transmission,0
Belarus,23 906,933,135,4,Clusters of cases,0
Ireland,22 996,236,1458,12,Community transmission,0
Israel,16 492,48,254,9,Pending,0
Poland,15 996,345,800,15,Community transmission,0
Austria,15 787,10,618,3,Community transmission,0
Ukraine,15 648,416,408,17,Community transmission,0
Romania,15 362,231,952,26,Community transmission,0
Denmark,10 429,110,529,3,Pending,0
Serbia,10 114,82,215,2,Pending,0
Czechia,8123,28,280,4,Community transmission,0
Norway,8099,30,217,4,Pending,0
Finland,5962,82,267,2,Pending,0
Kazakhstan,5138,82,31,0,Pending,0
Republic of Moldova,4927,60,171,6,Pending,0
Luxembourg,3886,9,101,0,Pending,0
Armenia,3392,79,45,0,Clusters of cases,0
Hungary,3284,21,421,8,Clusters of cases,0
Greece,2716,6,151,0,Community transmission,0
Azerbaijan,2519,97,32,1,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Uzbekistan,2411,24,10,0,Clusters of cases,0
Croatia,2187,11,90,3,Community transmission,0
Bosnia and Herzegovina,2098,28,103,6,Community transmission,0
Bulgaria,1965,10,91,1,Clusters of cases,0
Iceland,1801,0,10,0,Community transmission,3
Estonia,1739,6,60,0,Pending,0
North Macedonia,1642,20,91,0,Clusters of cases,0
Lithuania,1479,35,50,0,Community transmission,0
Slovakia,1457,2,26,0,Clusters of cases,0
Slovenia,1457,3,102,1,Community transmission,0
Kyrgyzstan,1016,14,12,0,Clusters of cases,0
Latvia,939,9,18,0,Community transmission,0
Cyprus,898,6,22,1,Clusters of cases,0
Albania,868,0,31,0,Clusters of cases,1
Andorra,756,2,48,0,Community transmission,0
Georgia,638,3,10,0,Community transmission,0
San Marino,637,5,41,0,Community transmission,0
Tajikistan,612,51,20,1,Pending,0
Malta,496,6,5,0,Pending,0
Montenegro,325,1,8,0,Clusters of cases,0
Monaco,96,1,1,0,Sporadic cases,0
Liechtenstein,83,0,1,0,Pending,15
Holy See,12,0,0,0,Sporadic cases,4
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Territoriesii,,,,,,
Kosovo[1],870,0,28,0,Community transmission,1
Isle of Man,330,1,23,0,Pending,0
Jersey,293,0,25,0,Pending,5
Guernsey,252,0,13,0,Community transmission,8
Faroe Islands,187,0,0,0,Pending,17
Gibraltar,146,0,0,0,Clusters of cases,1
Greenland,11,0,0,0,Pending,35
South-East Asia,,,,,,
India,67 152,4213,2206,97,Clusters of cases,0
Bangladesh,14 657,887,228,14,Clusters of cases,0
Indonesia,14 032,387,973,14,Community transmission,0
Thailand,3009,0,56,0,Clusters of cases,1
Sri Lanka,863,16,9,0,Clusters of cases,0
Maldives,835,50,3,0,Clusters of cases,0
Myanmar,180,2,6,0,Clusters of cases,0
Nepal,120,10,0,0,Sporadic cases,0
Timor-Leste,24,0,0,0,Clusters of cases,17
Bhutan,9,2,0,0,Sporadic cases,0
Western Pacific,,,,,,
China,84 450,20,4643,0,Clusters of cases,0
Singapore,23 336,876,20,0,Clusters of cases,0
Japan,15 798,51,621,8,Clusters of cases,0
Republic of Korea,10 909,35,256,0,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Philippines,10 794,184,719,15,Clusters of cases,0
Australia,6941,12,97,0,Clusters of cases,0
Malaysia,6656,67,108,0,Clusters of cases,0
New Zealand,1147,3,21,0,Clusters of cases,0
Viet Nam,288,0,0,0,Clusters of cases,3
Brunei Darussalam,141,0,1,0,Sporadic cases,3
Cambodia,122,0,0,0,Sporadic cases,29
Mongolia,42,0,0,0,Sporadic cases,2
Lao People's Democratic,,,,,,
Republic,19,0,0,0,Sporadic cases,28
Fiji,18,0,0,0,Sporadic cases,20
Papua New Guinea,8,0,0,0,Sporadic cases,18
Territoriesii,,,,,,
Guam,147,0,5,0,Clusters of cases,4
French Polynesia,60,0,0,0,Sporadic cases,5
New Caledonia,18,0,0,0,Sporadic cases,38
Northern Mariana Islands,,,,,,
(Commonwealth of the),16,0,2,0,Pending,1
Subtotal for all regions,4 005 545,88 891,278 879,4531,,
Other*,712,0,13,0,-,56
Grand total,,,,,,
"",4 006 257,88 891,278 892,4531,,
