Sweden,23 216,495,2854,85,Community transmission,0
Ireland,21 983,261,1339,20,Community transmission,0
Belarus,19 255,1766,112,9,Clusters of cases,0
Israel,16 268,31,237,3,Pending,0
Austria,15 586,17,606,6,Community transmission,0
Poland,14 431,425,716,18,Community transmission,0
Romania,13 837,325,827,24,Community transmission,0
Ukraine,13 184,487,327,11,Community transmission,0
Denmark,9821,151,503,10,Pending,0
Serbia,9677,120,200,3,Pending,0
Norway,7903,56,209,1,Pending,0
Czechia,7896,77,257,5,Community transmission,0
Finland,5412,85,246,6,Pending,0
Republic of Moldova,4363,115,140,7,Pending,0
Kazakhstan,4298,138,29,0,Pending,0
Luxembourg,3840,12,96,0,Pending,0
Hungary,3111,46,373,10,Clusters of cases,0
Armenia,2782,163,40,0,Clusters of cases,0
Greece,2642,10,146,0,Community transmission,0
Uzbekistan,2217,28,10,0,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Croatia,2112,11,83,3,Community transmission,0
Azerbaijan,2060,76,26,0,Clusters of cases,0
Bosnia and Herzegovina,1968,42,82,5,Community transmission,0
Iceland,1799,0,10,0,Community transmission,2
Estonia,1711,8,55,0,Pending,0
Bulgaria,1689,37,78,0,Clusters of cases,0
North Macedonia,1526,8,86,1,Clusters of cases,0
Slovenia,1445,6,98,1,Community transmission,0
Lithuania,1423,4,46,0,Community transmission,0
Slovakia,1421,8,25,0,Clusters of cases,0
Latvia,896,0,17,1,Community transmission,1
Cyprus,878,4,20,0,Clusters of cases,0
Kyrgyzstan,871,28,12,2,Clusters of cases,0
Albania,832,12,31,0,Clusters of cases,0
Andorra,751,0,46,1,Community transmission,1
Georgia,610,6,9,0,Community transmission,0
San Marino,589,7,41,0,Community transmission,0
Malta,482,2,5,1,Pending,0
Montenegro,324,1,8,0,Clusters of cases,0
Tajikistan,293,63,7,0,Pending,0
Monaco,95,0,1,0,Sporadic cases,2
Liechtenstein,83,0,1,0,Pending,10
Holy See,11,0,0,0,Sporadic cases,5
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Territoriesii,,,,,,
Kosovo[1],,,,,,
"",856,1,27,0,Community transmission,0
Isle of Man,325,4,23,0,Pending,0
Jersey,293,1,24,0,Pending,0
Guernsey,252,0,13,0,Community transmission,3
Faroe Islands,187,0,0,0,Pending,12
Gibraltar,144,0,0,0,Clusters of cases,4
Greenland,11,0,0,0,Pending,30
South-East Asia,,,,,,
India,49 391,2958,1694,126,Clusters of cases,0
Indonesia,12 071,484,872,8,Community transmission,0
Bangladesh,10 929,786,183,1,Clusters of cases,0
Thailand,2989,1,55,1,Clusters of cases,0
Sri Lanka,771,53,9,2,Clusters of cases,0
Maldives,573,28,2,1,Clusters of cases,0
Myanmar,161,0,6,0,Clusters of cases,1
Nepal,82,0,0,0,Sporadic cases,1
Timor-Leste,24,0,0,0,Clusters of cases,12
Bhutan,7,0,0,0,Sporadic cases,13
Western Pacific,,,,,,
China,84 406,2,4643,0,Clusters of cases,0
Singapore,19 410,632,18,0,Clusters of cases,0
Japan,15 354,123,543,22,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Republic of Korea,10 806,2,255,1,Clusters of cases,0
Philippines,9684,199,637,14,Clusters of cases,0
Australia,6849,24,96,1,Clusters of cases,0
Malaysia,6383,30,106,1,Clusters of cases,0
New Zealand,1138,1,21,1,Clusters of cases,0
Viet Nam,271,0,0,0,Clusters of cases,2
Brunei Darussalam,138,0,1,0,Sporadic cases,16
Cambodia,122,0,0,0,Sporadic cases,24
Mongolia,41,1,0,0,Sporadic cases,0
Lao People's Democratic,,,,,,
Republic,19,0,0,0,Sporadic cases,23
Fiji,18,0,0,0,Sporadic cases,15
Papua New Guinea,8,0,0,0,Sporadic cases,13
Territoriesii,,,,,,
Guam,145,0,5,0,Clusters of cases,2
French Polynesia,60,2,0,0,Sporadic cases,0
New Caledonia,18,0,0,0,Sporadic cases,33
Northern Mariana Islands,,,,,,
(Commonwealth of the),14,0,2,0,Pending,18
Subtotal for all regions,3 588 061,71 463,247 490,4102,,
Other*,712,0,13,0,-,51
Grand total,,,,,,
"",3 588 773,71 463,247 503,4102,,
