Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Paraguay,689,126,10,0,Community transmission,0
Jamaica,490,2,9,0,Clusters of cases,0
Venezuela (Bolivarian Republic,,,,,,
of),388,7,10,0,Clusters of cases,0
Haiti,146,17,12,0,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,12
Guyana,93,0,10,0,Clusters of cases,3
Bahamas,92,0,11,0,Clusters of cases,2
Barbados,82,0,7,0,Clusters of cases,5
Antigua and Barbuda,25,0,3,0,Clusters of cases,6
Grenada,21,0,0,0,Clusters of cases,6
Belize,18,0,2,0,Sporadic cases,25
Saint Lucia,18,0,0,0,Sporadic cases,5
Saint Vincent and the,,,,,,
Grenadines,17,0,0,0,Sporadic cases,5
Dominica,16,0,0,0,Clusters of cases,29
Nicaragua,16,0,5,0,Pending,3
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,19
Suriname,10,0,1,0,Sporadic cases,36
Territoriesii,,,,,,
Puerto Rico,2173,17,108,52,Clusters of cases,0
Martinique,186,3,14,0,Clusters of cases,0
Guadeloupe,154,0,13,0,Clusters of cases,1
French Guiana,141,0,1,0,Clusters of cases,1
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Bermuda,118,0,7,,0,Clusters of cases,2
Aruba,101,0,3,,0,Sporadic cases,4
Cayman Islands,81,1,1,,0,Clusters of cases,0
Sint Maarten,77,1,15,,1,Sporadic cases,0
United States Virgin Islands,68,0,4,,0,Clusters of cases,1
Saint Martin,38,0,3,,0,Sporadic cases,17
Curaçao,16,0,1,,0,Sporadic cases,12
Falkland Islands (Malvinas),13,0,0,,0,Clusters of cases,14
Turks and Caicos Islands,12,0,1,,0,Sporadic cases,12
Montserrat,11,0,1,,0,Sporadic cases,26
British Virgin Islands,7,0,1,,0,Sporadic cases,4
"Bonaire, Sint Eustatius and",,,,,,,
Saba,6,0,0,,0,Sporadic cases,12
Saint Barthélemy,6,0,0,,0,Sporadic cases,40
Anguilla,3,0,0,,0,Sporadic cases,36
Saint Pierre and Miquelon,1,0,0,,0,Sporadic cases,32
Eastern Mediterranean,,,,,,,
Iran (Islamic Republic of),106 220,1529,6589,,48,Community transmission,0
Saudi Arabia,37 136,1704,239,,10,Clusters of cases,0
Pakistan,29 465,1991,639,,21,Clusters of cases,0
Qatar,21 331,1130,13,,1,Community transmission,0
United Arab Emirates,17 417,624,185,,11,Pending,0
Egypt,8964,488,514,,11,Clusters of cases,0
Kuwait,7623,415,49,,2,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Morocco,5910,199,186,0,Clusters of cases,0
Bahrain,4774,330,8,0,Clusters of cases,0
Afghanistan,4402,839,119,14,Clusters of cases,0
Oman,3400,176,17,0,Clusters of cases,0
Iraq,2679,76,107,3,Clusters of cases,0
Djibouti,1189,54,3,0,Clusters of cases,0
Sudan,1164,53,64,5,Sporadic cases,0
Tunisia,1032,2,45,0,Community transmission,0
Somalia,997,69,48,4,Sporadic cases,0
Lebanon,809,13,26,0,Clusters of cases,0
Jordan,522,14,9,0,Clusters of cases,0
Libya,64,0,3,0,Clusters of cases,3
Syrian Arab Republic,47,0,3,0,Community transmission,1
Yemen,36,0,8,0,Pending,1
Territoriesii,,,,,,
occupied Palestinian territory,547,0,4,0,Clusters of cases,2
Europe,,,,,,
Spain,223 578,721,26 478,227,Community transmission,0
Italy,218 268,1083,30 395,194,Community transmission,0
The United Kingdom,215 264,3896,31 587,346,Community transmission,0
Russian Federation,209 688,11 012,1915,88,Clusters of cases,0
Germany,169 218,667,7395,26,Community transmission,0
Turkey,137 115,1546,3739,50,Community transmission,0
France,137 008,430,26 268,80,Community transmission,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Belgium,52 596,585,8581,60,Community transmission,0
Netherlands,42 382,289,5422,63,Community transmission,0
Switzerland,30 168,0,1531,0,Community transmission,1
Portugal,27 406,138,1126,12,Community transmission,0
Sweden,25 921,656,3220,45,Community transmission,0
Belarus,22 973,1872,131,10,Clusters of cases,0
Ireland,22 760,219,1446,17,Community transmission,0
Israel,16 444,0,245,0,Pending,1
Austria,15 777,42,615,1,Community transmission,0
Poland,15 651,285,785,9,Community transmission,0
Ukraine,15 232,522,391,15,Community transmission,0
Romania,15 131,320,926,28,Community transmission,0
Denmark,10 319,101,526,4,Pending,0
Serbia,10 032,89,213,4,Pending,0
Czechia,8095,18,276,3,Community transmission,0
Norway,8069,35,213,0,Pending,0
Finland,5880,142,265,5,Pending,0
Kazakhstan,5056,134,31,0,Pending,0
Republic of Moldova,4867,139,165,6,Pending,0
Luxembourg,3877,6,101,1,Pending,0
Armenia,3313,138,45,1,Clusters of cases,0
Hungary,3263,50,413,8,Clusters of cases,0
Greece,2710,19,151,1,Community transmission,0
Azerbaijan,2422,143,31,3,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Uzbekistan,2387,51,10,0,Clusters of cases,0
Croatia,2176,15,87,1,Community transmission,0
Bosnia and Herzegovina,2070,0,97,0,Community transmission,1
Bulgaria,1955,44,90,2,Clusters of cases,0
Iceland,1801,0,10,0,Community transmission,2
Estonia,1733,8,60,4,Pending,0
North Macedonia,1622,36,91,1,Clusters of cases,0
Slovakia,1455,0,26,0,Clusters of cases,1
Slovenia,1454,4,101,1,Community transmission,0
Lithuania,1444,8,50,1,Community transmission,0
Kyrgyzstan,1002,71,12,0,Clusters of cases,0
Latvia,930,2,18,0,Community transmission,0
Cyprus,892,1,21,0,Clusters of cases,0
Albania,868,12,31,0,Clusters of cases,0
Andorra,754,0,48,1,Community transmission,1
Georgia,635,9,10,0,Community transmission,0
San Marino,632,0,41,0,Community transmission,2
Tajikistan,561,39,19,1,Pending,0
Malta,490,1,5,0,Pending,0
Montenegro,324,0,8,0,Clusters of cases,4
Monaco,95,0,1,0,Sporadic cases,6
Liechtenstein,83,0,1,0,Pending,14
Holy See,12,0,0,0,Sporadic cases,3
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
erritoriesii,,,,,,
Kosovo[1],870,8,28,0,Community transmission,0
Isle of Man,329,0,23,0,Pending,1
Jersey,293,0,25,0,Pending,4
Guernsey,252,0,13,0,Community transmission,7
Faroe Islands,187,0,0,0,Pending,16
Gibraltar,146,2,0,0,Clusters of cases,0
Greenland,11,0,0,0,Pending,34
South-East Asia,,,,,,
India,62 939,3277,2109,128,Clusters of cases,0
Bangladesh,13 770,636,214,8,Clusters of cases,0
Indonesia,13 645,533,959,16,Community transmission,0
Thailand,3009,5,56,0,Clusters of cases,0
Sri Lanka,847,12,9,0,Clusters of cases,0
Maldives,785,41,3,0,Clusters of cases,0
Myanmar,178,1,6,0,Clusters of cases,0
Nepal,110,1,0,0,Sporadic cases,0
Timor-Leste,24,0,0,0,Clusters of cases,16
Bhutan,7,0,0,0,Sporadic cases,17
Western Pacific,,,,,,
China,84 430,14,4643,0,Clusters of cases,0
Singapore,22 460,753,20,0,Clusters of cases,0
Japan,15 747,104,613,13,Clusters of cases,0
Republic of Korea,10 874,34,256,0,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Philippines,10 610,147,704,8,Clusters of cases,0
Australia,6929,15,97,0,Clusters of cases,0
Malaysia,6589,54,108,1,Clusters of cases,0
New Zealand,1144,2,21,0,Clusters of cases,0
Viet Nam,288,0,0,0,Clusters of cases,2
Brunei Darussalam,141,0,1,0,Sporadic cases,2
Cambodia,122,0,0,0,Sporadic cases,28
Mongolia,42,0,0,0,Sporadic cases,1
Lao People's Democratic,,,,,,
Republic,19,0,0,0,Sporadic cases,27
Fiji,18,0,0,0,Sporadic cases,19
Papua New Guinea,8,0,0,0,Sporadic cases,17
Territoriesii,,,,,,
Guam,147,0,5,0,Clusters of cases,3
French Polynesia,60,0,0,0,Sporadic cases,4
New Caledonia,18,0,0,0,Sporadic cases,37
Northern Mariana Islands,,,,,,
(Commonwealth of the),16,1,2,0,Pending,0
Subtotal for all regions,3 916 654,61 563,274 348,8500,,
Other*,712,0,13,0,-,54
Grand total,,,,,,
"",3 917 366,61 563,274 361,8500,,
